,date,county,state_name,fips,cases,deaths,county_code,state,locality,locality_original,SD,LD,NESC,PC,GS,CPV
606,2020-03-10,Wayne,Michigan,26163.0,1,0,163,MI,wayne county,wayne_county,0,0,0,0,0,0
607,2020-03-11,Wayne,Michigan,26163.0,1,0,163,MI,wayne county,wayne_county,0,0,0,0,0,0
608,2020-03-12,Wayne,Michigan,26163.0,1,0,163,MI,wayne county,wayne_county,0,0,0,0,0,0
609,2020-03-13,Wayne,Michigan,26163.0,6,0,163,MI,wayne county,wayne_county,0,0,0,1,0,2
610,2020-03-14,Wayne,Michigan,26163.0,8,0,163,MI,wayne county,wayne_county,0,0,0,1,0,2
611,2020-03-15,Wayne,Michigan,26163.0,13,0,163,MI,wayne county,wayne_county,0,0,0,1,0,2
612,2020-03-16,Wayne,Michigan,26163.0,13,0,163,MI,wayne county,wayne_county,0,0,1,1,0,2
613,2020-03-17,Wayne,Michigan,26163.0,17,0,163,MI,wayne county,wayne_county,1,0,1,1,0,2
614,2020-03-18,Wayne,Michigan,26163.0,23,1,163,MI,wayne county,wayne_county,1,0,1,1,0,2
615,2020-03-19,Wayne,Michigan,26163.0,119,3,163,MI,wayne county,wayne_county,1,0,1,1,0,2
616,2020-03-20,Wayne,Michigan,26163.0,216,3,163,MI,wayne county,wayne_county,1,0,1,1,0,2
617,2020-03-21,Wayne,Michigan,26163.0,349,4,163,MI,wayne county,wayne_county,1,0,1,1,0,2
618,2020-03-22,Wayne,Michigan,26163.0,477,5,163,MI,wayne county,wayne_county,1,0,1,1,0,2
619,2020-03-23,Wayne,Michigan,26163.0,638,8,163,MI,wayne county,wayne_county,1,0,1,1,0,2
620,2020-03-24,Wayne,Michigan,26163.0,873,13,163,MI,wayne county,wayne_county,1,0,1,1,0,2
621,2020-03-25,Wayne,Michigan,26163.0,1122,21,163,MI,wayne county,wayne_county,1,0,1,1,0,2
622,2020-03-26,Wayne,Michigan,26163.0,1389,26,163,MI,wayne county,wayne_county,1,0,1,1,0,2
623,2020-03-27,Wayne,Michigan,26163.0,1810,37,163,MI,wayne county,wayne_county,1,0,1,1,0,2
624,2020-03-04,Bergen,New Jersey,34003.0,1,0,3,NJ,bergen county,bergen_county,0,0,0,0,0,0
625,2020-03-05,Bergen,New Jersey,34003.0,2,0,3,NJ,bergen county,bergen_county,0,0,0,0,0,0
626,2020-03-06,Bergen,New Jersey,34003.0,3,0,3,NJ,bergen county,bergen_county,0,0,0,0,0,0
627,2020-03-07,Bergen,New Jersey,34003.0,3,0,3,NJ,bergen county,bergen_county,0,0,0,0,0,0
628,2020-03-08,Bergen,New Jersey,34003.0,4,0,3,NJ,bergen county,bergen_county,0,0,0,0,0,0
629,2020-03-09,Bergen,New Jersey,34003.0,5,0,3,NJ,bergen county,bergen_county,0,0,0,0,0,0
630,2020-03-10,Bergen,New Jersey,34003.0,7,1,3,NJ,bergen county,bergen_county,1,0,0,0,0,0
631,2020-03-11,Bergen,New Jersey,34003.0,11,1,3,NJ,bergen county,bergen_county,1,0,0,1,0,0
632,2020-03-12,Bergen,New Jersey,34003.0,13,1,3,NJ,bergen county,bergen_county,1,0,0,1,0,0
633,2020-03-13,Bergen,New Jersey,34003.0,17,1,3,NJ,bergen county,bergen_county,1,0,1,1,3,2
634,2020-03-14,Bergen,New Jersey,34003.0,31,1,3,NJ,bergen county,bergen_county,1,0,1,1,3,2
635,2020-03-15,Bergen,New Jersey,34003.0,32,1,3,NJ,bergen county,bergen_county,1,0,1,1,3,2
636,2020-03-16,Bergen,New Jersey,34003.0,61,2,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
637,2020-03-17,Bergen,New Jersey,34003.0,84,2,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
638,2020-03-18,Bergen,New Jersey,34003.0,133,4,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
639,2020-03-19,Bergen,New Jersey,34003.0,297,6,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
640,2020-03-20,Bergen,New Jersey,34003.0,342,7,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
641,2020-03-21,Bergen,New Jersey,34003.0,362,9,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
642,2020-03-22,Bergen,New Jersey,34003.0,457,10,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
643,2020-03-23,Bergen,New Jersey,34003.0,609,12,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
644,2020-03-24,Bergen,New Jersey,34003.0,701,14,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
645,2020-03-25,Bergen,New Jersey,34003.0,819,15,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
646,2020-03-26,Bergen,New Jersey,34003.0,1206,21,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
647,2020-03-27,Bergen,New Jersey,34003.0,1505,28,3,NJ,bergen county,bergen_county,1,0,1,1,5,2
648,2020-03-09,Hudson,New Jersey,34017.0,1,0,17,NJ,hudson county,hudson_county,0,0,0,0,0,0
649,2020-03-10,Hudson,New Jersey,34017.0,1,0,17,NJ,hudson county,hudson_county,0,0,0,0,0,0
650,2020-03-11,Hudson,New Jersey,34017.0,1,0,17,NJ,hudson county,hudson_county,1,0,0,0,0,0
651,2020-03-12,Hudson,New Jersey,34017.0,1,0,17,NJ,hudson county,hudson_county,1,0,0,0,0,0
652,2020-03-13,Hudson,New Jersey,34017.0,3,0,17,NJ,hudson county,hudson_county,1,0,0,0,0,0
653,2020-03-14,Hudson,New Jersey,34017.0,5,0,17,NJ,hudson county,hudson_county,1,0,0,0,0,0
654,2020-03-15,Hudson,New Jersey,34017.0,10,0,17,NJ,hudson county,hudson_county,1,0,0,0,0,2
655,2020-03-16,Hudson,New Jersey,34017.0,19,0,17,NJ,hudson county,hudson_county,1,0,0,0,5,2
656,2020-03-17,Hudson,New Jersey,34017.0,24,0,17,NJ,hudson county,hudson_county,1,0,0,0,5,2
657,2020-03-18,Hudson,New Jersey,34017.0,34,0,17,NJ,hudson county,hudson_county,1,0,0,1,5,2
658,2020-03-19,Hudson,New Jersey,34017.0,55,0,17,NJ,hudson county,hudson_county,1,0,0,1,5,2
659,2020-03-20,Hudson,New Jersey,34017.0,66,0,17,NJ,hudson county,hudson_county,1,0,0,1,5,2
660,2020-03-21,Hudson,New Jersey,34017.0,97,0,17,NJ,hudson county,hudson_county,1,0,1,1,5,2
661,2020-03-22,Hudson,New Jersey,34017.0,126,0,17,NJ,hudson county,hudson_county,1,0,1,1,5,2
662,2020-03-23,Hudson,New Jersey,34017.0,190,0,17,NJ,hudson county,hudson_county,1,0,1,1,5,2
663,2020-03-24,Hudson,New Jersey,34017.0,234,3,17,NJ,hudson county,hudson_county,1,0,1,1,5,2
664,2020-03-25,Hudson,New Jersey,34017.0,260,4,17,NJ,hudson county,hudson_county,1,0,1,1,5,2
